comb,WT_div,LZ_div,type,morph,community,coevolved,morph_comb,WT_coev,LZ_coev,treatment,treatment2,T0_count_ml,T1_count,T1_count_ml
122,1,2,LZ,WS,9,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,204285.7143,3,2.00E+07
122,1,2,WT,SM,NA,N,SM,N,Y,2Y_1N,WS:SM:Y_WS,NA,0,NA
122,1,2,WT,WS,12,N,WS,N,Y,2Y_1N,WS:SM:Y_WS,468928.5714,18,1.20E+08
123,2,0,LZ,SM,NA,N,SM,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
123,2,0,LZ,WS,NA,N,WS,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
123,2,0,WT,SM,12,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,363303.5714,67,44666666.67
123,2,0,WT,WS,12,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,234464.2857,28,18666666.67
124,0,2,LZ,SM,9,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,224017.8571,327,2.18E+08
124,0,2,LZ,WS,9,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,204285.7143,151,100666666.7
124,0,2,WT,SM,NA,N,SM,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
124,0,2,WT,WS,NA,N,WS,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
125,2,1,LZ,SM,8,N,SM,N,N,1N_2N,SM_WS:SM:N,503750,471,3.14E+08
125,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
125,2,1,WT,SM,11,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,344732.1429,111,7.40E+07
125,2,1,WT,WS,12,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,234464.2857,323,215333333.3
126,2,1,LZ,SM,9,N,SM,N,N,1N_2N,SM_WS:SM:N,448035.7143,186,1.24E+08
126,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
126,2,1,WT,SM,11,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,344732.1429,62,41333333.33
126,2,1,WT,WS,12,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,234464.2857,85,56666666.67
127,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,0,NA
127,2,1,LZ,WS,8,N,WS,N,N,1N_2N,WS_WS:SM:N,369107.1429,57,3.80E+08
127,2,1,WT,SM,11,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,344732.1429,11,73333333.33
127,2,1,WT,WS,12,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,234464.2857,92,613333333.3
128,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,138,NA
128,2,1,LZ,WS,9,N,WS,N,N,1N_2N,WS_WS:SM:N,408571.4286,23,15333333.33
128,2,1,WT,SM,11,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,344732.1429,109,72666666.67
128,2,1,WT,WS,12,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,234464.2857,30,2.00E+07
129,2,1,LZ,SM,8,N,SM,N,N,1N_2N,SM_WS:SM:N,503750,38,253333333.3
129,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
129,2,1,WT,SM,12,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,363303.5714,9,6.00E+07
